STATE_UT,CRIME HEAD,Category,Male_Below_18,Female_Below_18,Male_18_30,Female_18_30,Male_30_45,Female_30_45,Male_45_60,Female_45_60,Male_above_60,Female_above_60,Male_Total,Female_Total,Total_below_18,Total_18_30,Total_30_45,Total_45_60,Total_above_60,Grand_Total
ANDHRA PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,10,0,36,0,6,0,1,0,53,0,0,10,36,6,1,53
ARUNACHAL PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2
CHHATTISGARH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,5,0,3,0,2,0,0,0,10,0,0,5,3,2,0,10
KERALA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,1,0,3,0,1,0,2,0,0,0,7,0,1,3,1,2,0,7
MANIPUR,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
PUNJAB,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,3,0,2,0,0,0,0,0,5,0,0,3,2,0,0,5
UTTARAKHAND,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3
LAKSHADWEEP,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,7,0,16,0,5,1,0,0,28,1,0,7,16,6,0,29
ARUNACHAL PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4
CHHATTISGARH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,2,0,9,0,8,0,0,0,19,0,0,2,9,8,0,19
HARYANA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,16,0,16,0,3,0,1,0,36,0,0,16,16,3,1,36
KERALA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N ISLANDS,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N HAVELI,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI UT,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3
LAKSHADWEEP,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ARMS ACT,Violent,4,0,262,0,231,0,46,0,6,0,549,0,4,262,231,46,6,549
ARUNACHAL PRADESH,ARMS ACT,Violent,0,0,10,0,4,0,0,0,0,0,14,0,0,10,4,0,0,14
ASSAM,ARMS ACT,Violent,2,0,290,2,249,1,31,0,0,0,572,3,2,292,250,31,0,575
BIHAR,ARMS ACT,Violent,25,0,1483,17,788,2,164,0,0,0,2460,19,25,1500,790,164,0,2479
CHHATTISGARH,ARMS ACT,Violent,17,0,527,0,312,0,58,0,0,0,914,0,17,527,312,58,0,914
GOA,ARMS ACT,Violent,0,0,12,0,6,0,0,1,1,0,19,1,0,12,6,1,1,20
GUJARAT,ARMS ACT,Violent,2,0,345,1,297,1,61,0,6,0,711,2,2,346,298,61,6,713
HARYANA,ARMS ACT,Violent,10,0,837,0,537,0,109,0,2,0,1495,0,10,837,537,109,2,1495
HIMACHAL PRADESH,ARMS ACT,Violent,0,0,9,0,11,0,4,0,1,0,25,0,0,9,11,4,1,25
JAMMU & KASHMIR,ARMS ACT,Violent,0,0,153,0,138,0,18,0,1,0,310,0,0,153,138,18,1,310
JHARKHAND,ARMS ACT,Violent,3,0,676,6,353,2,60,0,0,0,1092,8,3,682,355,60,0,1100
KARNATAKA,ARMS ACT,Violent,0,0,79,1,94,0,41,0,4,0,218,1,0,80,94,41,4,219
KERALA,ARMS ACT,Violent,8,0,249,0,203,1,65,0,10,0,535,1,8,249,204,65,10,536
MADHYA PRADESH,ARMS ACT,Violent,37,0,6389,0,3592,5,918,2,27,0,10963,7,37,6389,3597,920,27,10970
MAHARASHTRA,ARMS ACT,Violent,24,0,1058,1,421,2,54,0,5,0,1562,3,24,1059,423,54,5,1565
MANIPUR,ARMS ACT,Violent,0,0,5,0,8,0,5,0,0,0,18,0,0,5,8,5,0,18
MEGHALAYA,ARMS ACT,Violent,0,0,22,0,4,0,0,0,0,0,26,0,0,22,4,0,0,26
MIZORAM,ARMS ACT,Violent,0,0,16,0,13,0,9,0,0,0,38,0,0,16,13,9,0,38
NAGALAND,ARMS ACT,Violent,0,0,87,3,59,1,2,0,1,0,149,4,0,90,60,2,1,153
ODISHA,ARMS ACT,Violent,1,0,516,7,481,3,179,0,3,0,1180,10,1,523,484,179,3,1190
PUNJAB,ARMS ACT,Violent,4,0,406,0,404,0,156,0,1,0,971,0,4,406,404,156,1,971
RAJASTHAN,ARMS ACT,Violent,15,0,2943,0,1695,1,484,0,34,0,5171,1,15,2943,1696,484,34,5172
SIKKIM,ARMS ACT,Violent,0,0,2,0,1,0,0,0,0,0,3,0,0,2,1,0,0,3
TAMIL NADU,ARMS ACT,Violent,1,0,80,0,143,1,48,0,1,0,273,1,1,80,144,48,1,274
TRIPURA,ARMS ACT,Violent,0,0,19,0,13,0,1,0,2,0,35,0,0,19,13,1,2,35
UTTAR PRADESH,ARMS ACT,Violent,25,0,17230,4,7997,2,1296,0,2,0,26550,6,25,17234,7999,1296,2,26556
UTTARAKHAND,ARMS ACT,Violent,2,0,202,0,287,0,17,0,0,0,508,0,2,202,287,17,0,508
WEST BENGAL,ARMS ACT,Violent,7,0,1576,1,1099,0,228,0,0,0,2910,1,7,1577,1099,228,0,2911
A & N ISLANDS,ARMS ACT,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,ARMS ACT,Violent,0,0,8,0,6,0,3,0,0,0,17,0,0,8,6,3,0,17
D & N HAVELI,ARMS ACT,Violent,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,2
DAMAN & DIU,ARMS ACT,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,ARMS ACT,Violent,9,0,879,3,272,1,28,2,0,0,1188,6,9,882,273,30,0,1194
LAKSHADWEEP,ARMS ACT,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,ARMS ACT,Violent,2,0,209,0,20,0,1,0,0,0,232,0,2,209,20,1,0,232
ANDHRA PRADESH,ARMS ACT,Violent,2,0,199,0,141,3,28,0,1,0,371,3,2,199,144,28,1,374
ARUNACHAL PRADESH,ARMS ACT,Violent,0,0,4,0,6,0,0,0,0,0,10,0,0,4,6,0,0,10
ASSAM,ARMS ACT,Violent,9,1,261,0,278,0,14,0,0,0,562,1,10,261,278,14,0,563
BIHAR,ARMS ACT,Violent,58,0,1337,0,782,0,126,0,3,0,2306,0,58,1337,782,126,3,2306
CHHATTISGARH,ARMS ACT,Violent,11,0,537,0,356,1,71,1,1,0,976,2,11,537,357,72,1,978
GOA,ARMS ACT,Violent,0,0,8,0,3,0,0,0,1,0,12,0,0,8,3,0,1,12
GUJARAT,ARMS ACT,Violent,2,0,275,0,255,0,46,0,5,0,583,0,2,275,255,46,5,583
HARYANA,ARMS ACT,Violent,8,0,814,0,567,0,143,0,7,0,1539,0,8,814,567,143,7,1539
HIMACHAL PRADESH,ARMS ACT,Violent,0,0,19,0,11,0,2,0,1,0,33,0,0,19,11,2,1,33
JAMMU & KASHMIR,ARMS ACT,Violent,0,0,106,0,74,1,26,0,0,0,206,1,0,106,75,26,0,207
JHARKHAND,ARMS ACT,Violent,11,0,573,1,403,0,51,0,0,0,1038,1,11,574,403,51,0,1039
KARNATAKA,ARMS ACT,Violent,1,0,42,0,112,0,28,0,4,0,187,0,1,42,112,28,4,187
KERALA,ARMS ACT,Violent,3,0,203,0,147,0,47,0,7,0,407,0,3,203,147,47,7,407
MADHYA PRADESH,ARMS ACT,Violent,42,0,7404,3,4342,7,1189,1,38,0,13015,11,42,7407,4349,1190,38,13026
MAHARASHTRA,ARMS ACT,Violent,14,1,933,2,384,4,64,0,6,0,1401,7,15,935,388,64,6,1408
MANIPUR,ARMS ACT,Violent,0,0,8,0,10,0,3,0,0,1,21,1,0,8,10,3,1,22
MEGHALAYA,ARMS ACT,Violent,0,0,21,0,5,0,0,0,1,0,27,0,0,21,5,0,1,27
MIZORAM,ARMS ACT,Violent,0,0,14,0,31,2,12,1,1,0,58,3,0,14,33,13,1,61
NAGALAND,ARMS ACT,Violent,1,0,139,2,99,3,18,0,4,1,261,6,1,141,102,18,5,267
ODISHA,ARMS ACT,Violent,0,0,627,9,459,3,142,0,10,0,1238,12,0,636,462,142,10,1250
PUNJAB,ARMS ACT,Violent,2,0,348,0,287,2,103,0,0,0,740,2,2,348,289,103,0,742
RAJASTHAN,ARMS ACT,Violent,12,0,2888,0,1983,0,582,0,36,0,5501,0,12,2888,1983,582,36,5501
SIKKIM,ARMS ACT,Violent,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2
TAMIL NADU,ARMS ACT,Violent,5,0,104,0,138,0,35,1,2,0,284,1,5,104,138,36,2,285
TRIPURA,ARMS ACT,Violent,0,0,19,0,4,0,0,0,0,0,23,0,0,19,4,0,0,23
UTTAR PRADESH,ARMS ACT,Violent,39,0,13971,0,7443,5,1520,0,5,0,22978,5,39,13971,7448,1520,5,22983
UTTARAKHAND,ARMS ACT,Violent,7,0,280,0,281,0,32,0,0,0,600,0,7,280,281,32,0,600
WEST BENGAL,ARMS ACT,Violent,12,0,1341,1,1479,0,352,0,1,0,3185,1,12,1342,1479,352,1,3186
A&N ISLANDS,ARMS ACT,Violent,0,0,0,0,4,0,1,0,0,0,5,0,0,0,4,1,0,5
CHANDIGARH,ARMS ACT,Violent,1,0,9,0,8,0,4,0,0,0,22,0,1,9,8,4,0,22
D&N HAVELI,ARMS ACT,Violent,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
DAMAN & DIU,ARMS ACT,Violent,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
DELHI UT,ARMS ACT,Violent,2,0,788,7,261,6,22,0,0,0,1073,13,2,795,267,22,0,1086
LAKSHADWEEP,ARMS ACT,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,ARMS ACT,Violent,0,0,104,0,136,0,1,0,0,0,241,0,0,104,136,1,0,241
ANDHRA PRADESH,Arson,Violent,4,0,298,11,359,11,116,4,16,1,793,27,4,309,370,120,17,820
ARUNACHAL PRADESH,Arson,Violent,0,0,7,0,10,0,0,0,0,0,17,0,0,7,10,0,0,17
ASSAM,Arson,Violent,9,0,291,0,421,0,50,0,0,0,771,0,9,291,421,50,0,771
BIHAR,Arson,Violent,1,0,687,7,487,7,131,0,22,0,1328,14,1,694,494,131,22,1342
CHHATTISGARH,Arson,Violent,2,2,127,4,92,1,22,1,1,0,244,8,4,131,93,23,1,252
GOA,Arson,Violent,0,0,5,1,13,0,4,0,2,0,24,1,0,6,13,4,2,25
GUJARAT,Arson,Violent,7,0,284,13,268,17,62,6,6,0,627,36,7,297,285,68,6,663
HARYANA,Arson,Violent,0,0,72,0,99,0,36,1,1,0,208,1,0,72,99,37,1,209
HIMACHAL PRADESH,Arson,Violent,0,0,27,1,44,2,20,2,0,0,91,5,0,28,46,22,0,96
JAMMU & KASHMIR,Arson,Violent,1,0,86,1,125,1,24,0,1,0,237,2,1,87,126,24,1,239
JHARKHAND,Arson,Violent,1,0,108,0,77,2,14,0,0,0,200,2,1,108,79,14,0,202
KARNATAKA,Arson,Violent,0,0,75,3,157,8,92,4,20,0,344,15,0,78,165,96,20,359
KERALA,Arson,Violent,5,0,163,0,168,3,32,0,1,0,369,3,5,163,171,32,1,372
MADHYA PRADESH,Arson,Violent,6,0,472,3,358,5,107,1,9,0,952,9,6,475,363,108,9,961
MAHARASHTRA,Arson,Violent,21,3,622,13,562,37,263,17,34,0,1502,70,24,635,599,280,34,1572
MANIPUR,Arson,Violent,0,0,1,0,1,0,1,0,0,0,3,0,0,1,1,1,0,3
MEGHALAYA,Arson,Violent,2,0,96,0,46,0,10,0,1,0,155,0,2,96,46,10,1,155
MIZORAM,Arson,Violent,1,0,13,0,3,0,1,0,0,0,18,0,1,13,3,1,0,18
NAGALAND,Arson,Violent,0,0,5,0,2,0,1,0,0,0,8,0,0,5,2,1,0,8
ODISHA,Arson,Violent,5,0,160,4,233,8,101,2,1,0,500,14,5,164,241,103,1,514
PUNJAB,Arson,Violent,0,0,42,1,42,0,8,0,0,0,92,1,0,43,42,8,0,93
RAJASTHAN,Arson,Violent,6,0,240,10,218,7,88,3,7,0,559,20,6,250,225,91,7,579
SIKKIM,Arson,Violent,0,0,9,0,7,0,3,0,0,0,19,0,0,9,7,3,0,19
TAMIL NADU,Arson,Violent,2,0,281,20,308,30,125,14,11,0,727,64,2,301,338,139,11,791
TRIPURA,Arson,Violent,0,0,54,0,27,0,3,0,0,0,84,0,0,54,27,3,0,84
UTTAR PRADESH,Arson,Violent,1,0,430,0,331,0,186,0,19,0,967,0,1,430,331,186,19,967
UTTARAKHAND,Arson,Violent,2,0,3,0,3,0,1,0,0,0,9,0,2,3,3,1,0,9
WEST BENGAL,Arson,Violent,2,0,185,0,234,7,73,0,0,0,494,7,2,185,241,73,0,501
A&N ISLANDS,Arson,Violent,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
CHANDIGARH,Arson,Violent,0,0,1,0,2,0,1,0,0,0,4,0,0,1,2,1,0,4
D&N HAVELI,Arson,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,Arson,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI UT,Arson,Violent,0,0,26,0,15,0,3,0,0,0,44,0,0,26,15,3,0,44
LAKSHADWEEP,Arson,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Arson,Violent,0,0,5,0,2,0,2,0,0,0,9,0,0,5,2,2,0,9
ANDHRA PRADESH,Arson,Violent,15,4,410,16,393,20,162,7,15,0,995,47,19,426,413,169,15,1042
ARUNACHAL PRADESH,Arson,Violent,0,0,15,0,8,0,0,0,0,0,23,0,0,15,8,0,0,23
ASSAM,Arson,Violent,11,0,354,0,399,2,59,0,0,0,823,2,11,354,401,59,0,825
BIHAR,Arson,Violent,1,0,788,20,613,24,265,12,13,0,1680,56,1,808,637,277,13,1736
CHHATTISGARH,Arson,Violent,10,0,135,2,78,4,26,3,6,0,255,9,10,137,82,29,6,264
GOA,Arson,Violent,0,0,14,0,21,0,1,0,2,0,38,0,0,14,21,1,2,38
GUJARAT,Arson,Violent,2,0,218,8,187,7,55,1,6,0,468,16,2,226,194,56,6,484
HARYANA,Arson,Violent,1,0,92,0,127,0,28,0,3,0,251,0,1,92,127,28,3,251
HIMACHAL PRADESH,Arson,Violent,0,0,20,0,48,4,14,2,3,0,85,6,0,20,52,16,3,91
JAMMU & KASHMIR,Arson,Violent,3,0,80,2,153,3,33,1,3,0,272,6,3,82,156,34,3,278
JHARKHAND,Arson,Violent,1,0,80,2,50,0,18,0,0,0,149,2,1,82,50,18,0,151
KARNATAKA,Arson,Violent,0,0,73,3,77,2,73,0,7,1,230,6,0,76,79,73,8,236
KERALA,Arson,Violent,0,0,174,0,230,2,59,0,1,0,464,2,0,174,232,59,1,466
MADHYA PRADESH,Arson,Violent,5,0,568,6,448,13,151,3,11,0,1183,22,5,574,461,154,11,1205
MAHARASHTRA,Arson,Violent,19,0,672,27,567,40,245,10,39,6,1542,83,19,699,607,255,45,1625
MANIPUR,Arson,Violent,0,0,5,0,3,0,1,0,0,0,9,0,0,5,3,1,0,9
MEGHALAYA,Arson,Violent,2,0,29,0,9,0,2,0,0,0,42,0,2,29,9,2,0,42
MIZORAM,Arson,Violent,0,0,4,0,4,0,2,0,1,0,11,0,0,4,4,2,1,11
NAGALAND,Arson,Violent,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3
ODISHA,Arson,Violent,2,1,251,9,309,10,88,1,8,1,658,22,3,260,319,89,9,680
PUNJAB,Arson,Violent,0,0,32,2,54,1,11,1,0,0,97,4,0,34,55,12,0,101
RAJASTHAN,Arson,Violent,8,0,226,13,251,6,85,7,7,0,577,26,8,239,257,92,7,603
SIKKIM,Arson,Violent,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,5
TAMIL NADU,Arson,Violent,1,0,319,9,307,7,123,0,19,0,769,16,1,328,314,123,19,785
TRIPURA,Arson,Violent,0,0,22,0,18,0,6,0,0,0,46,0,0,22,18,6,0,46
UTTAR PRADESH,Arson,Violent,2,0,477,8,312,1,55,0,1,0,847,9,2,485,313,55,1,856
UTTARAKHAND,Arson,Violent,2,0,3,0,7,0,0,0,0,0,12,0,2,3,7,0,0,12
WEST BENGAL,Arson,Violent,0,3,233,10,256,3,88,3,1,0,578,19,3,243,259,91,1,597
A & N ISLANDS,Arson,Violent,0,0,4,0,2,0,0,0,0,0,6,0,0,4,2,0,0,6
CHANDIGARH,Arson,Violent,0,0,3,0,2,0,0,0,0,0,5,0,0,3,2,0,0,5
D & N HAVELI,Arson,Violent,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2
DAMAN & DIU,Arson,Violent,0,0,6,1,0,0,0,0,0,0,6,1,0,7,0,0,0,7
DELHI,Arson,Violent,2,0,35,0,10,0,0,0,0,0,47,0,2,35,10,0,0,47
LAKSHADWEEP,Arson,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Arson,Violent,1,0,22,0,17,0,0,0,0,0,40,0,1,22,17,0,0,40
ANDHRA PRADESH,Assault on Women wih intent to outrage her Modesty,Violent,133,4,3341,69,2220,65,829,17,127,1,6650,156,137,3410,2285,846,128,6806
ARUNACHAL PRADESH,Assault on Women wih intent to outrage her Modesty,Violent,0,0,67,0,13,0,1,0,0,0,81,0,0,67,13,1,0,81
ASSAM,Assault on Women wih intent to outrage her Modesty,Violent,6,0,1083,4,1288,2,155,0,0,0,2532,6,6,1087,1290,155,0,2538
BIHAR,Assault on Women wih intent to outrage her Modesty,Violent,33,0,320,2,137,3,13,0,1,0,504,5,33,322,140,13,1,509
CHHATTISGARH,Assault on Women wih intent to outrage her Modesty,Violent,121,0,1504,7,724,5,181,2,7,0,2537,14,121,1511,729,183,7,2551
GOA,Assault on Women wih intent to outrage her Modesty,Violent,1,0,73,0,62,0,30,0,4,0,170,0,1,73,62,30,4,170
GUJARAT,Assault on Women wih intent to outrage her Modesty,Violent,55,2,1013,30,483,26,122,5,19,1,1692,64,57,1043,509,127,20,1756
HARYANA,Assault on Women wih intent to outrage her Modesty,Violent,59,0,1029,8,540,9,112,2,26,0,1766,19,59,1037,549,114,26,1785
HIMACHAL PRADESH,Assault on Women wih intent to outrage her Modesty,Violent,6,0,261,7,195,19,59,6,12,0,533,32,6,268,214,65,12,565
JAMMU & KASHMIR,Assault on Women wih intent to outrage her Modesty,Violent,4,0,969,110,1040,101,496,33,55,4,2564,248,4,1079,1141,529,59,2812
JHARKHAND,Assault on Women wih intent to outrage her Modesty,Violent,0,0,400,3,122,0,27,0,0,0,549,3,0,403,122,27,0,552
